event,league,date,event_location_country,fighter_1,fighter_2,winner,match_arm,f1_age,f2_age,f1_style_dominant,f1_style_additional,f2_style_dominant,f2_style_additional,f1_weight,f2_weight,weight_advantage,f1_height,f2_height,height_advantage,f1_country,f2_country,f1_travel_penalty,f2_travel_penalty,domestic_advantage,travel_type,label,f1_style_combo_success_percent,f2_style_combo_success_percent,athlete1_style_advantage_rate,f1_gender,f2_gender,f1_is_current_title_holder,f2_is_current_title_holder,f1_days_from_last_match,f2_days_from_last_match,f1_low_rank_predictions,f1_high_rank_predictions,f2_low_rank_predictions,f2_high_rank_predictions,f1_all_rank_predictions,f2_all_rank_predictions,f1_left_winning_streak,f1_right_winning_streak,f1_winrate_last_5,f2_left_winning_streak,f2_right_winning_streak,f2_winrate_last_5,num_shared_opponents_value,mma_math_positive,mma_math_negative,has_head_to_head,head_to_head_result,second_order_mma_math_difference,second_order_mma_math_positive,second_order_mma_math_negative,f1_domestic_win_rate,f1_transatlantic_win_rate,f2_domestic_win_rate,f2_transatlantic_win_rate
East vs West 18,EvW,"June 21, 2025",USA,Matt Mask,Irakli Zirakashvili,Matt Mask,Left,43.0,27.0,Toproll,Hook,Toproll,Press,114.0,95.0,19.0,196.0,190.0,6.0,Canada,Georgia,0,1,1,transatlantic,1,53.4,58.5,50.0,male,male,False,False,42,126,5,2,4,1,10,8,0,0,0.8,0,0,0.8,0,0,0,0,0,0,0,0,1.0,0.333,0.692,0.0
East vs West 18,EvW,"June 21, 2025",USA,Irakli Zirakashvili,Matt Mask,Matt Mask,Left,27.0,43.0,Toproll,Press,Toproll,Hook,95.0,114.0,-19.0,190.0,196.0,-6.0,Georgia,Canada,1,0,-1,transatlantic,0,58.5,53.4,50.0,male,male,False,False,126,42,4,1,5,2,8,10,0,0,0.8,0,0,0.8,0,0,0,0,0,0,0,0,0.692,0.0,1.0,0.333
East vs West 18,EvW,"June 21, 2025",USA,Michael Todd,Georgii Dzeranov,Michael Todd,Right,51.0,38.0,King's Move,Side,Hook,Side,105.0,123.0,-18.0,191.0,190.0,1.0,USA,Kazakhstan,0,1,1,transatlantic,1,45.5,44.2,40.0,male,male,False,False,42,42,5,3,3,0,8,7,0,-2,0.6,0,0,0.6,0,1,1,0,0,13,18,5,1.0,0.333,0.714,0.0
East vs West 18,EvW,"June 21, 2025",USA,Georgii Dzeranov,Michael Todd,Michael Todd,Right,38.0,51.0,Hook,Side,King's Move,Side,123.0,105.0,18.0,190.0,191.0,-1.0,Kazakhstan,USA,1,0,-1,transatlantic,0,44.2,45.5,60.0,male,male,False,False,42,42,3,0,5,3,7,8,0,0,0.6,0,-2,0.6,0,1,1,0,0,-13,5,18,0.714,0.0,1.0,0.333
East vs West 18,EvW,"June 21, 2025",USA,Fia Reisek,Elin Janeheim,Fia Reisek,Right,40.0,23.0,Toproll,,Toproll,Hook,71.0,70.0,1.0,170.0,169.0,1.0,Sweden,Sweden,1,1,0,domestic,1,50.0,53.4,50.0,male,male,True,False,126,0,2,0,0,0,3,0,0,3,1.0,0,0,0.5,0,0,0,0,0,0,0,0,1.0,1.0,0.5,0.0
East vs West 18,EvW,"June 21, 2025",USA,Elin Janeheim,Fia Reisek,Fia Reisek,Right,23.0,40.0,Toproll,Hook,Toproll,,70.0,71.0,-1.0,169.0,170.0,-1.0,Sweden,Sweden,1,1,0,domestic,0,53.4,50.0,50.0,male,male,False,True,0,126,0,0,2,0,0,3,0,0,0.5,0,3,1.0,0,0,0,0,0,0,0,0,0.5,0.0,1.0,1.0
East vs West 18,EvW,"June 21, 2025",USA,Artyom Morozov,Alex Kurdecha,Artyom Morozov,Right,27.0,36.0,Toproll,Hook,Toproll,Press,142.0,150.0,-8.0,195.0,201.0,-6.0,Kazakhstan,Poland,1,1,0,domestic,1,53.4,58.5,50.0,male,male,False,False,126,126,6,3,3,0,12,7,0,0,0.6,-2,0,0.4,0,1,1,1,1,1,10,9,0.733,1.0,0.4,0.0
East vs West 18,EvW,"June 21, 2025",USA,Alex Kurdecha,Artyom Morozov,Artyom Morozov,Right,36.0,27.0,Toproll,Press,Toproll,Hook,150.0,142.0,8.0,201.0,195.0,6.0,Poland,Kazakhstan,1,1,0,domestic,0,58.5,53.4,50.0,male,male,False,False,126,126,3,0,6,3,7,12,-2,0,0.4,0,0,0.6,0,1,1,1,-1,-1,9,10,0.4,0.0,0.733,1.0
East vs West 18,EvW,"June 21, 2025",USA,Levan Saginashvili,Ermes Gasparini,Levan Saginashvili,Right,36.0,31.0,Toproll,Press,Toproll,Press,178.0,130.0,48.0,193.0,188.0,5.0,Georgia,Italy,1,1,0,domestic,1,58.5,58.5,50.0,male,male,True,False,189,126,16,6,1,0,34,3,0,4,1.0,-2,2,0.6,1,1,0,1,1,7,7,0,1.0,1.0,0.667,0.0
East vs West 18,EvW,"June 21, 2025",USA,Ermes Gasparini,Levan Saginashvili,Levan Saginashvili,Right,31.0,36.0,Toproll,Press,Toproll,Press,130.0,178.0,-48.0,188.0,193.0,-5.0,Italy,Georgia,1,1,0,domestic,0,58.5,58.5,50.0,male,male,False,True,126,189,1,0,16,6,3,34,-2,2,0.6,0,4,1.0,1,0,1,1,-1,-7,0,7,0.667,0.0,1.0,1.0
East vs West 17,EvW,"March 29, 2025",USA,Arsen Khachatryan,Andrei Sharkevich,Arsen Khachatryan,Right,27.0,38.0,Toproll,Hook,Hook,Press,95.0,100.0,-5.0,185.0,188.0,-3.0,Russia,Russia,1,1,0,domestic,1,53.4,37.2,59.6,male,male,False,False,0,0,1,0,1,0,1,2,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.0
East vs West 17,EvW,"March 29, 2025",USA,Andrei Sharkevich,Arsen Khachatryan,Arsen Khachatryan,Right,38.0,27.0,Hook,Press,Toproll,Hook,100.0,95.0,5.0,188.0,185.0,3.0,Russia,Russia,1,1,0,domestic,0,37.2,53.4,40.4,male,male,False,False,0,0,1,0,1,0,2,1,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.0,0.5,0.5
East vs West 17,EvW,"March 29, 2025",USA,Joseph Meranto,Cody Wood,Joseph Meranto,Right,23.0,23.0,Toproll,,Toproll,,70.0,70.0,0.0,173.0,175.0,-2.0,USA,USA,0,0,0,domestic,1,50.0,50.0,50.0,male,male,False,False,105,0,0,0,0,0,0,2,0,0,1.0,0,0,0.5,0,0,0,0,0,0,0,0,1.0,0.5,0.0,0.5
East vs West 17,EvW,"March 29, 2025",USA,Cody Wood,Joseph Meranto,Joseph Meranto,Right,23.0,23.0,Toproll,,Toproll,,70.0,70.0,-0.0,175.0,173.0,2.0,USA,USA,0,0,0,domestic,0,50.0,50.0,50.0,male,male,False,False,0,105,0,0,0,0,2,0,0,0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0.0,0.5,1.0,0.5
