event,league,date,fighter_1,fighter_2,winner,match_arm,f1_age,f2_age,f1_style_dominant,f1_style_additional,f2_style_dominant,f2_style_additional,f1_weight,f2_weight,weight_advantage,f1_height,f2_height,height_advantage,f1_country,f2_country,f1_travel_penalty,f2_travel_penalty,domestic_advantage,travel_type,label,f1_style_combo_success_percent,f2_style_combo_success_percent,athlete1_style_advantage_rate,f1_gender,f2_gender,f1_is_current_title_holder,f2_is_current_title_holder,f1_days_from_last_match,f2_days_from_last_match,f1_low_rank_predictions,f1_high_rank_predictions,f2_low_rank_predictions,f2_high_rank_predictions,f1_all_rank_predictions,f2_all_rank_predictions,f1_left_winning_streak,f1_right_winning_streak,f1_winrate_last_5,f2_left_winning_streak,f2_right_winning_streak,f2_winrate_last_5,f1_domestic_win_rate,f1_transatlantic_win_rate,f2_domestic_win_rate,f2_transatlantic_win_rate,num_shared_opponents_value,mma_math_positive,mma_math_negative,has_head_to_head,head_to_head_result,second_order_mma_math_difference,second_order_mma_math_positive,second_order_mma_math_negative
East vs West 17,EvW,"March 29, 2025",Hunter Noffz,Valen Low,Hunter Noffz,Right,27,31,Hook,Side,Toproll,Hook,77.0,78.0,-1.0,175.0,169.0,6.0,United States Of America,Singapore,0,0,0,domestic,1,44.2,53.4,40.4,male,male,False,False,231,0,3,2,0,0,8,0,0,0,0.0,0,0,0.0,0.667,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 17,EvW,"March 29, 2025",Craig Tullier,John Therrien,Craig Tullier,Right,52,29,Side,Press,Hook,Side,85.0,95.0,-10.0,175.0,178.0,-3.0,United States Of America,Canada,0,1,1,transatlantic,1,58.3,44.2,67.9,male,male,False,False,231,0,2,2,0,0,8,1,0,0,0.5,0,0,0.0,0.5,1.0,0.5,0.0,0,0,0,0,0,0,0,0
East vs West 17,EvW,"March 29, 2025",Mindaugas Tarasaitis,Janis Amolins,Mindaugas Tarasaitis,Right,34,43,Toproll,Side,Toproll,Side,76.0,77.0,-1.0,178.0,178.0,0.0,Lithuania,Latvia,0,0,0,domestic,1,53.3,53.3,50.0,male,male,False,False,231,231,1,2,2,0,5,7,0,4,0.8,0,0,0.0,0.778,0.5,0.5,0.5,0,0,0,0,0,0,0,0
East vs West 17,EvW,"March 29, 2025",Jocelyne Brisson,Sarah Backman,Jocelyne Brisson,Right,28,33,Toproll,Hook,Hook,Toproll,85.0,80.0,5.0,180.0,174.0,6.0,Canada,United States Of America,1,0,-1,transatlantic,1,53.4,39.7,59.6,male,male,False,False,0,504,0,1,2,0,2,4,0,0,0.0,0,-2,0.33,0.5,0.5,0.667,0.0,0,0,0,0,0,0,0,0
East vs West 17,EvW,"March 29, 2025",Evgeny Prudnik,Kody Merritt,Evgeny Prudnik,Left,37,51,Hook,Toproll,King's Move,Toproll,115.0,153.0,-38.0,185.0,188.0,-3.0,Ukraine,United States Of America,0,0,0,domestic,1,39.7,14.3,60.0,male,male,False,False,266,693,1,1,1,0,4,4,-2,-2,0.4,-2,0,0.0,0.5,0.5,0.0,0.5,0,0,0,0,0,0,0,0
East vs West 17,EvW,"March 29, 2025",Mindaugas Tarasaitis,Hunter Noffz,Mindaugas Tarasaitis,Left,34,27,Toproll,Side,Hook,Side,76.0,77.0,-1.0,178.0,175.0,3.0,Lithuania,United States Of America,0,0,0,domestic,1,53.3,44.2,59.6,male,male,False,False,231,231,1,2,3,2,5,8,0,4,0.8,0,0,0.0,0.778,0.5,0.667,0.5,0,0,0,0,0,0,0,0
East vs West 17,EvW,"March 29, 2025",Matt Mask,Kydyrgali Ongarbaev,Matt Mask,Right,43,30,Toproll,Hook,Toproll,Hook,114.0,105.0,9.0,196.0,186.0,10.0,Canada,Kazakhstan,1,0,-1,transatlantic,1,53.4,53.4,50.0,male,male,False,False,231,301,1,0,5,2,3,10,0,3,0.8,0,-2,0.6,1.0,0.455,0.6,0.0,0,0,0,0,0,-5,5,10
East vs West 17,EvW,"March 29, 2025",Georgi Tsvetkov,Dave Chaffee,Georgi Tsvetkov,Right,36,48,Toproll,Side,Side,Press,165.0,125.0,40.0,190.0,188.0,2.0,Bulgaria,United States Of America,0,0,0,domestic,1,53.3,58.3,57.1,male,male,False,False,182,231,5,0,2,1,6,9,0,0,0.6,0,0,0.2,0.5,0.5,0.444,0.0,0,1,1,0,0,-4,4,8
East vs West 17,EvW,"March 29, 2025",Devon Larratt,Corey West,Devon Larratt,Left,50,34,Toproll,King's Move,Hook,Side,120.0,195.0,-75.0,196.0,192.0,4.0,Canada,United States Of America,1,0,-1,transatlantic,1,80.0,44.2,59.6,male,male,False,False,147,182,8,4,0,0,18,1,0,5,1.0,0,-2,0.4,0.5,0.8,0.286,0.0,0,0,0,0,0,0,0,0
East vs West 17,EvW,"March 29, 2025",Yoshinobu Kanai,John Brzenk,Yoshinobu Kanai,Right,49,60,Hook,King's Move,Hook,Toproll,101.0,104.0,-3.0,173.0,181.0,-8.0,Japan,United States Of America,0,0,0,domestic,1,50.0,39.7,50.0,male,male,False,False,147,231,0,1,6,1,3,11,0,0,0.0,0,0,0.2,0.5,0.5,0.4,0.0,0,0,0,0,0,2,3,1
